shell_index,q,eigenvalue,multiplicity,mode_start,mode_end,complete_J,requested_max_J_cuts_shell,B_sq_shell,contribution,cumulative,fraction_of_last_cumulative,lambda_xx_finite_shell,parseval_contribution,parseval_cumulative,rigorous_flag
35,129,2263.4292759831596,2,67,68,68,False,2.2809761040751903e-24,1.0317464228785112e-27,16.945158392918316,0.9988209578362565,36.29353673301884,1.0077523200208714e-27,10.245443541903873,exploratory_double
36,133,2333.6131295020173,4,69,72,72,False,1.1036033469413353,0.00048382960406426667,16.94564222252238,0.9988494768466638,36.29256907381071,0.0004729161543485314,10.245916458058222,exploratory_double
37,139,2438.8889097803035,2,73,74,74,False,0.1306629349767073,5.475657585946517e-05,16.94569697909824,0.9988527044361781,36.29245956065899,5.357477925818175e-05,10.24597003283748,exploratory_double
38,147,2579.256616818019,3,75,77,77,False,4.270049955491245e-24,1.6900254519620492e-27,16.94569697909824,0.9988527044361781,36.29245956065899,1.655535136615885e-27,10.24597003283748,exploratory_double
39,148,2596.8025801977333,2,78,79,79,False,11.874123865012537,0.004667199380374658,16.950364178478615,0.9991278093627551,36.28312516189824,0.004572593987529227,10.250542626825009,exploratory_double
40,151,2649.440470336877,2,80,81,81,False,5.481971535886039,0.002111046707088767,16.952475225185704,0.999252243590227,36.27890306848406,0.0020691053817823678,10.252611732206791,exploratory_double
41,156,2737.1702872354485,2,82,83,83,False,3.006738689999959e-26,1.1200232462279704e-29,16.952475225185704,0.999252243590227,36.27890306848406,1.0984843376466633e-29,10.252611732206791,exploratory_double
42,157,2754.716250615163,2,84,85,85,False,0.003315219479315093,1.2269146327536768e-06,16.95247645210034,0.9992523159098845,36.278900614654795,1.2034704041023328e-06,10.252612935677195,exploratory_double
43,163,2859.9920308934497,2,86,87,87,False,0.05378050261435383,1.9157006889021695e-05,16.952495609107228,0.9992534451067634,36.278862300641016,1.8804423940143995e-05,10.252631740101135,exploratory_double
44,169,2965.267811171736,2,88,89,89,False,4.097589640842704,0.0014068349745545484,16.95390244408178,0.9993363700475765,36.27604863069191,0.0013818615726393791,10.254013601673774,exploratory_double
45,171,3000.359737931165,2,90,91,91,False,2.942640341381025e-24,9.982761241822043e-28,16.95390244408178,0.9993363700475765,36.27604863069191,9.807625079684814e-28,10.254013601673774,exploratory_double
46,172,3017.9057013108795,2,92,93,93,False,0.011389219613506257,3.840873856518803e-06,16.953906284955636,0.999336596445301,36.2760409489442,3.7738818706492894e-06,10.254017375555645,exploratory_double
47,175,3070.5435914500226,2,94,95,95,False,0.8588382808254791,0.00028458088682241725,16.95419086584246,0.9993533708741597,36.27547178717055,0.0002797023573340329,10.254297077912979,exploratory_double
48,181,3175.8193717283093,2,96,97,97,False,0.11198881912103302,3.585728840325021e-05,16.954226723130862,0.9993554844578935,36.27540007259375,3.526296870595877e-05,10.254332340881685,exploratory_double
49,183,3210.911298487738,2,98,99,99,False,4.6623007463678235e-28,1.4762182191204459e-31,16.954226723130862,0.9993554844578935,36.27540007259375,1.4520179204463404e-31,10.254332340881685,exploratory_double
50,189,3316.1870787660246,2,100,101,101,False,3.598597769115263e-27,1.1026638671958706e-30,16.954226723130862,0.9993554844578935,36.27540007259375,1.0851612661292695e-30,10.254332340881685,exploratory_double
51,192,3368.8249689051677,1,102,102,102,False,5.902835800186885e-24,1.7800068753610155e-27,16.954226723130862,0.9993554844578935,36.27540007259375,1.7521942679334996e-27,10.254332340881685,exploratory_double
52,193,3386.370932284882,2,103,104,104,False,8.981662164450894,0.002694175583618386,16.95692089871448,0.9995142908245623,36.27001172142651,0.00265229720667095,10.256984638088356,exploratory_double
53,196,3439.0088224240253,2,105,106,106,False,4.248653079263229,0.0012546331055341715,16.958175531820014,0.9995882443286339,36.26750245521544,0.001235429537592322,10.258220067625949,exploratory_double
54,199,3491.6467125631684,2,107,108,108,False,0.0058387176302311114,1.697790826286867e-06,16.95817722961084,0.9995883444037715,36.26749905963379,1.672195989709678e-06,10.25822173982194,exploratory_double
55,201,3526.7386393225975,2,109,110,110,False,2.2373663249608055e-26,6.440130803594776e-30,16.95817722961084,0.9995883444037715,36.26749905963379,6.344009448317243e-30,10.25822173982194,exploratory_double
56,208,3649.560382980598,2,111,112,112,False,0.04814862760789884,1.3386062030450633e-05,16.95819061567287,0.9995891334361894,36.26747228750973,1.3192993828088366e-05,10.258234932815768,exploratory_double
57,211,3702.1982731197418,2,113,114,114,False,0.0009249150295083774,2.5343190205089813e-07,16.958190869104772,0.9995891483745624,36.26747178064593,2.4982860486534037e-07,10.258235182644372,exploratory_double
58,217,3807.474053398028,4,115,118,118,False,3.1566552281622635,0.0008406905363941499,16.959031559641165,0.999638702312468,36.26579039957314,0.0008290680865822492,10.259064250730955,exploratory_double
