model,J,M,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
signed_xxy,49,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,31.898814738009868,31.898814738009868,36.325965036689574,7.73517509996302e-13,-75.10260472891373,2.1451140622468685,2.2135751493398534,59.95418769967904,1579.3348052979636,2423.8792838025224,-12.833549515124755,-12.834697907128604,0.9630930343712389,0.9619446423673903,True,True,exploratory_double
norm_bound,51,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,19.25093523493503,36.324237337842554,36.324237337842554,7.3621555241082e-13,-75.12436434676357,0.0,0.0,59.95335056724801,1514.2689481483148,1930.612621424374,-12.833549515124755,-12.834697907128604,-4.507275502710879,-4.508423894714728,False,True,exploratory_double
norm_bound,51,,dirichlet_parseval_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-120.27657321408435,-87.17966483068835,36.324237337842554,7.3621555241082e-13,-75.12436434676357,59.95335056724801,61.75195108426545,59.95335056724801,2957.2180078594924,3524.7283048010713,-12.833549515124755,-12.834697907128604,-64.85469517028571,-64.85584356228955,False,True,exploratory_double
norm_bound,51,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.129606994465357,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-10.614929334303318,-10.616077726307166,False,True,exploratory_double
norm_bound,51,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,5.129606994465357,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-10.614929334303318,-10.616077726307166,False,True,exploratory_double
norm_bound,51,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,8.019611428930435,26.989853480611735,36.324237337842554,7.3621555241082e-13,-75.12436434676357,4.53125429962661,4.667191928615408,59.95335056724801,1649.1300587148753,2478.9414645325455,-12.833549515124755,-12.834697907128604,-9.364965707872331,-9.36611409987618,False,True,exploratory_double
norm_bound,51,98,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.193698407170729,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,-7.992132772872711,-7.99328116487656,False,True,exploratory_double
norm_bound,51,101,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,11.193698407170729,29.742666600083222,36.324237337842554,7.3621555241082e-13,-75.12436434676357,3.194937251339482,3.2907853688796664,59.95335056724801,1610.1615858471562,2447.3523344409314,-12.833549515124755,-12.834697907128604,-7.992132772872711,-7.99328116487656,False,True,exploratory_double
norm_bound,51,200,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,13.694215330104125,31.907026862421926,36.324237337842554,7.3621555241082e-13,-75.12436434676357,2.144276929815838,2.2086052377103136,59.95335056724801,1579.0685666033332,2422.125866284467,-12.833549515124755,-12.834697907128604,-6.91062744240757,-6.911775834411419,False,True,exploratory_double
symmetry_x_even,51,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,34.39362471641818,36.324237337842554,36.324237337842554,7.3621555241082e-13,-75.12436434676357,0.0,0.0,59.95335056724801,1514.2689481483148,1930.612621424374,-12.833549515124755,-12.834697907128604,2.0421300388402877,2.040981646836439,True,True,exploratory_double
signed_xxy,51,,tail_ignored,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,36.324237337842554,36.324237337842554,36.324237337842554,7.3621555241082e-13,-75.12436434676357,0.0,0.0,59.95335056724801,1514.2689481483148,1930.612621424374,-12.833549515124755,-12.834697907128604,2.8771445200397636,2.875996128035915,True,True,exploratory_double
symmetry_x_even,51,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.971099891173537,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-3.330769737649442,-3.3319181296532907,False,True,exploratory_double
signed_xxy,51,29,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.478403976130693,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-2.246328873399225,-2.2474772654030737,False,True,exploratory_double
symmetry_x_even,51,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,21.971099891173537,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-3.330769737649442,-3.3319181296532907,False,True,exploratory_double
signed_xxy,51,31,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.478403976130693,24.478403976130693,36.324237337842554,7.3621555241082e-13,-75.12436434676357,5.750404544520322,5.9229166808559315,59.95335056724801,1684.1492896708178,2507.3040849571566,-12.833549515124755,-12.834697907128604,-2.246328873399225,-2.2474772654030737,False,True,exploratory_double
symmetry_x_even,51,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,24.51091201607919,26.989853480611735,36.324237337842554,7.3621555241082e-13,-75.12436434676357,4.53125429962661,4.667191928615408,59.95335056724801,1649.1300587148753,2478.9414645325455,-12.833549515124755,-12.834697907128604,-2.2322687332078814,-2.23341712521173,False,True,exploratory_double
signed_xxy,51,50,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,26.989853480611735,26.989853480611735,36.324237337842554,7.3621555241082e-13,-75.12436434676357,4.53125429962661,4.667191928615408,59.95335056724801,1649.1300587148753,2478.9414645325455,-12.833549515124755,-12.834697907128604,-1.1600950625502549,-1.1612434545541035,False,True,exploratory_double
