model,J,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,100,dirichlet_parseval_tail,omega_up_type,0.0,0.0,0.0,-85.51685264393424,-85.51685264393424,36.27540007259375,6.882875780575178e-13,-75.15885636074067,2918.7247219435576,3480.2977249684177,-12.820992204969132,-12.822561881283685,-49.850875625637876,-49.85244530195243,False,False,exploratory_double
norm_bound,100,dirichlet_parseval_tail,square,0.0,0.0,0.0,-85.51685264393424,-85.51685264393424,36.27540007259375,6.882875780575178e-13,-75.15885636074067,2918.7247219435576,3480.2977249684177,-12.820992204969132,-12.822561881283685,-49.850875625637876,-49.85244530195243,False,False,exploratory_double
symmetry_first_order,100,tail_ignored,x_only,0.2,0.0,0.2,36.27540007259375,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-13.35789251319255,-13.189512840739116,2.349816484462478,2.518196156915911,True,False,exploratory_double
symmetry_first_order,100,tail_ignored,y_only,0.0,0.0033457152710447005,0.0033457152710447005,29.813505395208264,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.858194351054804,-12.859752773915325,0.001558422860522768,1.7763568394002505e-15,True,False,exploratory_double
symmetry_first_order,100,tail_ignored,omega_up_type,0.03328658344188004,0.0033286583441880045,0.03345260234429565,29.846449042810836,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.874217226090593,-12.871088114484847,1.7763568394002505e-15,0.003129111605748136,True,False,exploratory_double
symmetry_first_order,100,tail_ignored,square,0.0033455793489446484,0.0033455793489446484,0.004731363689272871,29.813767914348034,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.858356950245183,-12.859868035055161,0.00151108480998019,1.7763568394002505e-15,True,False,exploratory_double
signed_xxy_first_order,100,tail_ignored,x_only,0.2,0.0,0.2,36.27540007259375,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-13.35789251319255,-13.189512840739116,2.349816484462478,2.518196156915911,True,False,exploratory_double
signed_xxy_first_order,100,tail_ignored,y_only,0.0,0.09735443867766096,0.09735443867766096,36.27540007259375,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-13.941923391717554,-13.927248621233888,1.7763568394002505e-15,0.014674770483667388,True,False,exploratory_double
signed_xxy_first_order,100,tail_ignored,omega_up_type,0.2,0.020000000000000004,0.2009975124224178,36.27540007259375,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-13.637399066293009,-13.462063407637975,1.7075559306360795,1.8828915892911127,True,False,exploratory_double
signed_xxy_first_order,100,tail_ignored,square,0.09115338376682096,0.09115338376682096,0.12891035157923772,36.27540007259375,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-14.054396265598971,-14.000917736772431,5.329070518200751e-15,0.05347852882654536,True,False,exploratory_double
norm_bound,200,tail_ignored,x_only,0.004381853162764629,0.0,0.004381853162764629,29.612891307278016,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.821269138174339,-12.822758075805066,0.0014889376307287705,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,200,tail_ignored,y_only,0.0,0.003333774157755608,0.003333774157755608,29.812784688194654,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.858061383566133,-12.859619903184033,0.0015585196179017657,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,200,tail_ignored,omega_up_type,0.003872894951974666,0.00038728949519746666,0.0038922112561012357,29.635979598745514,36.25280331265571,36.25280331265571,6.190176925906037e-13,-75.17105008775113,1515.3205182230236,1931.7501185493202,-12.825509869439713,-12.827016747486242,0.001506878046530602,1.7763568394002505e-15,True,False,exploratory_double
