J,M,J_cluster_complete,M_cluster_complete,lambda_next,lambda1,alpha,G_norm_sq,D_J,N_M,old_dirichlet_tail_energy,neumann_corrected_tail_energy,old_tail_bound,neumann_corrected_tail_bound,tail_energy_ratio,lambda_xx_finite,lambda_xx_old_tail_lower,lambda_xx_neumann_tail_lower,lambda_xx_lower_improvement,rigorous_part,rigorous_flag
30,5,True,True,1105.395692922008,52.637890139143245,1.05,70.18385351885578,10.197238938228862,34.49333401720883,59.98661458062692,25.49328056341809,62.98594530965827,26.767944591588996,0.42498281894460027,36.393407478299366,-89.57848314101717,-17.142481704878627,72.43600143613855,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,8,True,False,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,47.31522797137836,59.95335056724801,12.638122595869646,61.75195108426545,13.017266273745737,0.21079927103813514,36.324237337842554,-87.17966483068835,10.289704790351081,97.46936962103943,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,9,True,True,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,47.31522797137836,59.95335056724801,12.638122595869646,61.75195108426545,13.017266273745737,0.21079927103813514,36.324237337842554,-87.17966483068835,10.289704790351081,97.46936962103943,Neumann-corrected tail formula; double precision inputs,exploratory_double
51,10,True,True,1807.2342281105848,52.637890139143245,1.03,70.18385351885578,10.230502951607773,47.31522797137836,59.95335056724801,12.638122595869646,61.75195108426545,13.017266273745737,0.21079927103813514,36.324237337842554,-87.17966483068835,10.289704790351081,97.46936962103943,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,5,True,True,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,34.49333401720883,59.929521177974095,25.436187160765265,60.896126358264,25.846448244003415,0.42443501400965356,36.27540007259375,-85.51685264393424,-15.417496415413083,70.09935622852116,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,6,True,False,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,34.49333401720883,59.929521177974095,25.436187160765265,60.896126358264,25.846448244003415,0.42443501400965356,36.27540007259375,-85.51685264393424,-15.417496415413083,70.09935622852116,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,7,True,True,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.896126358264,12.817749548637599,0.2104854662384966,36.27540007259375,-85.51685264393424,10.63990097531855,96.1567536192528,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,8,True,False,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.896126358264,12.817749548637599,0.2104854662384966,36.27540007259375,-85.51685264393424,10.63990097531855,96.1567536192528,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,9,True,True,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.896126358264,12.817749548637599,0.2104854662384966,36.27540007259375,-85.51685264393424,10.63990097531855,96.1567536192528,Neumann-corrected tail formula; double precision inputs,exploratory_double
99,10,True,True,3316.1870787660246,52.637890139143245,1.0161290322580645,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.896126358264,12.817749548637599,0.2104854662384966,36.27540007259375,-85.51685264393424,10.63990097531855,96.1567536192528,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,5,True,True,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,34.49333401720883,59.929521177974095,25.436187160765265,60.88078341889432,25.83993616331709,0.42443501400965356,36.27540007259375,-85.4861667651949,-15.404472254040435,70.08169451115447,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,6,True,False,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,34.49333401720883,59.929521177974095,25.436187160765265,60.88078341889432,25.83993616331709,0.42443501400965356,36.27540007259375,-85.4861667651949,-15.404472254040435,70.08169451115447,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,7,True,True,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.88078341889432,12.814520082890903,0.2104854662384966,36.27540007259375,-85.4861667651949,10.646359906811941,96.13252667200683,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,8,True,False,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.88078341889432,12.814520082890903,0.2104854662384966,36.27540007259375,-85.4861667651949,10.646359906811941,96.13252667200683,Neumann-corrected tail formula; double precision inputs,exploratory_double
101,9,True,True,3368.8249689051677,52.637890139143245,1.0158730158730158,70.18385351885578,10.254332340881692,47.31522797137836,59.929521177974095,12.614293206595732,60.88078341889432,12.814520082890903,0.2104854662384966,36.27540007259375,-85.4861667651949,10.646359906811941,96.13252667200683,Neumann-corrected tail formula; double precision inputs,exploratory_double
