model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
symmetry_x_even,30,10,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,30,10,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,10,True,neumann_corrected_tail,x_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,10,True,neumann_corrected_tail,y_only,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,10,True,neumann_corrected_tail,omega_up,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
signed_xxy,30,10,True,neumann_corrected_tail,square,0.0,0.0,0.0,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.820992204969132,-12.822561881283685,-8.584614341748594,-8.586184018063147,False,True,exploratory_double
symmetry_x_even,49,,,tail_ignored,x_only,0.2,0.0,0.2,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-13.35789251319255,-13.189512840739116,2.371711756186695,2.540091428640128,True,True,exploratory_double
symmetry_x_even,49,,,tail_ignored,y_only,0.0,0.003372472872525833,0.003372472872525833,29.815120433199716,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.858492309031297,-12.860050513595695,0.0015582045644002562,1.7763568394002505e-15,True,True,exploratory_double
symmetry_x_even,49,,,tail_ignored,omega_up,0.0335510519261647,0.0033551051926164702,0.03371838988157237,29.84865021069154,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.874771994910061,-12.871567638791491,1.7763568394002505e-15,0.0032043561185712832,True,True,exploratory_double
symmetry_x_even,49,,,tail_ignored,square,0.003372334684727289,0.003372334684727289,0.004769201448002528,29.81538721645237,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-12.858657540209446,-12.860167644334465,0.0015101041250211722,1.7763568394002505e-15,True,True,exploratory_double
signed_xxy,49,,,tail_ignored,x_only,0.2,0.0,0.2,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-13.35789251319255,-13.189512840739116,2.371711756186695,2.540091428640128,True,True,exploratory_double
signed_xxy,49,,,tail_ignored,y_only,0.0,0.09800192775047961,0.09800192775047961,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-13.949596968883187,-13.934681122667152,7.105427357601002e-15,0.014915846216041473,True,True,exploratory_double
signed_xxy,49,,,tail_ignored,omega_up,0.2,0.020000000000000004,0.2009975124224178,36.325965036689574,36.325965036689574,36.325965036689574,7.73517509996302e-13,-75.10260472891373,0.0,0.0,59.95418769967904,1514.2431711656504,1930.5847221281058,-13.637399066293009,-13.462063407637975,1.7289455527193383,1.9042812113743715,True,True,exploratory_double
