model,J,M,M_cluster_complete,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,lambda_xx_tail_energy,lambda_xx_tail_bound,old_dirichlet_tail_energy,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
signed_xxy,30,5,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-20.24789059443975,-20.249038986443598,False,True,exploratory_double
symmetry_x_even,30,6,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-20.103364196017132,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-21.52850988066743,-21.529658272671277,False,True,exploratory_double
signed_xxy,30,6,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,-17.142481704878627,-17.142481704878627,36.393407478299366,7.201517969142668e-13,-75.02124572679011,25.49328056341809,26.767944591588996,59.98661458062692,2225.2719496651343,2960.882491138505,-12.833549515124755,-12.834697907128604,-20.24789059443975,-20.249038986443598,False,True,exploratory_double
symmetry_x_even,30,7,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.093971885042412,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-9.76531656797762,-9.76646495998147,False,True,exploratory_double
signed_xxy,30,7,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-8.602063399703656,-8.603211791707505,False,True,exploratory_double
symmetry_x_even,30,8,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.093971885042412,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-9.76531656797762,-9.76646495998147,False,True,exploratory_double
signed_xxy,30,8,False,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-8.602063399703656,-8.603211791707505,False,True,exploratory_double
symmetry_x_even,30,9,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.093971885042412,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-9.76531656797762,-9.76646495998147,False,True,exploratory_double
signed_xxy,30,9,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,9.783495598877394,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-8.602063399703656,-8.603211791707505,False,True,exploratory_double
symmetry_x_even,30,10,True,neumann_corrected_tail,omega_up_target_1e-2,0.01,0.001,0.01004987562112089,7.093971885042412,9.783495598877394,36.393407478299366,7.201517969142668e-13,-75.02124572679011,12.671386609248557,13.304955939710986,59.98661458062692,1888.6528354515472,2689.5237138349826,-12.833549515124755,-12.834697907128604,-9.76531656797762,-9.76646495998147,False,True,exploratory_double
