conjecture,step,i,j,x_lo_inf,x_hi_sup,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J2,1-2,8,62,0.58399999999999997,0.59600000000000009,0.79162540378443858,0.79282540378443878,1.22566450162811976e+01,1,1.03124595683208096e+01,2026-03-11 23:36:04
J2,1-2,8,63,0.58399999999999997,0.59600000000000009,0.79042540378443849,0.7916254037844388,1.22924621435020285e+01,1,1.03124595683208096e+01,2026-03-11 23:36:27
J2,1-2,8,64,0.58399999999999997,0.59600000000000009,0.78922540378443851,0.79042540378443871,1.23306855113947691e+01,1,1.03124595683208096e+01,2026-03-11 23:36:51
J2,1-2,8,65,0.58399999999999997,0.59600000000000009,0.78802540378443853,0.78922540378443873,1.23669773628675586e+01,1,1.03124595683208096e+01,2026-03-11 23:37:14
J2,1-2,8,66,0.58399999999999997,0.59600000000000009,0.78682540378443855,0.78802540378443875,1.24052756365355652e+01,1,1.03124595683208096e+01,2026-03-11 23:37:38
J2,1-2,8,67,0.58399999999999997,0.59600000000000009,0.78562540378443857,0.78682540378443878,1.24419171992585369e+01,1,1.03124595683208096e+01,2026-03-11 23:38:01
J2,1-2,8,68,0.58399999999999997,0.59600000000000009,0.7844254037844386,0.7856254037844388,1.24815660784031817e+01,1,1.03124595683208096e+01,2026-03-11 23:38:25
J2,1-2,8,69,0.58399999999999997,0.59600000000000009,0.78322540378443851,0.78442540378443871,1.25175638252060626e+01,1,1.03124595683208096e+01,2026-03-11 23:38:49
J2,1-2,8,70,0.58399999999999997,0.59600000000000009,0.78202540378443853,0.78322540378443873,1.25566546636818171e+01,1,1.03124595683208096e+01,2026-03-11 23:39:23
J2,1-2,8,71,0.58399999999999997,0.59600000000000009,0.78082540378443855,0.78202540378443875,1.25938669855899015e+01,1,1.03124595683208096e+01,2026-03-11 23:39:49
J2,1-2,8,72,0.58399999999999997,0.59600000000000009,0.77962540378443857,0.78082540378443877,1.26333770469041653e+01,1,1.03124595683208096e+01,2026-03-11 23:40:15
J2,1-2,8,73,0.58399999999999997,0.59600000000000009,0.77842540378443859,0.77962540378443879,1.26730415577239235e+01,1,1.03124595683208096e+01,2026-03-11 23:40:38
J2,1-2,8,74,0.58399999999999997,0.59600000000000009,0.7772254037844385,0.7784254037844387,1.27109249361764203e+01,1,1.03124595683208096e+01,2026-03-11 23:41:01
J2,1-2,8,75,0.58399999999999997,0.59600000000000009,0.77602540378443852,0.77722540378443872,1.27487831467001147e+01,1,1.03124595683208096e+01,2026-03-11 23:41:25
J2,1-2,8,76,0.58399999999999997,0.59600000000000009,0.77482540378443854,0.77602540378443874,1.27890601050640918e+01,1,1.03124595683208096e+01,2026-03-11 23:41:49
