id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
24,0.115,0.12,0.1175,10.8336020225916,10.8303321918706,10.8368718533624,1,-2.36208568740588
25,0.12,0.125,0.1225,10.8288728625569,10.8258941519987,10.8318515732123,1,-2.38311330877117
26,0.125,0.13,0.1275,10.8247561930234,10.8220961715823,10.8274162144702,1,-2.40252793462212
27,0.13,0.135,0.1325,10.8213045651346,10.8189884122499,10.8236207179475,1,-2.42015793976342
28,0.135,0.14,0.1375,10.818565542293,10.8166158596421,10.8205152249756,1,-2.43584686544518
29,0.14,0.145,0.1425,10.8165813472124,10.8150179907596,10.8181447036545,1,-2.44945459658387
30,0.145,0.15,0.1475,10.8153885541758,10.8142284923417,10.8165486161118,1,-2.46085840992171
31,0.15,0.155,0.1525,10.8150178275789,10.8142260125409,10.8158096425971,1,-2.46979960117032
32,0.155,0.16,0.1575,10.8154937075315,10.8142732065004,10.8167142085543,1,-2.47380427943471
33,0.16,0.165,0.1625,10.8168344429992,10.8151778695503,10.8184910164789,1,-2.47530201504314
34,0.165,0.17,0.1675,10.8190518727236,10.8169550654643,10.8211486799833,1,-2.47426743846931
35,0.17,0.175,0.1725,10.8221513539232,10.8196133989639,10.8246893087902,1,-2.47069571757178
36,0.175,0.18,0.1775,10.8261317385813,10.82315496766,10.8291085094477,1,-2.46460255631412
37,0.18,0.185,0.1825,10.8309853969467,10.8275753630319,10.8343954308812,1,-2.45602405238638
38,0.185,0.19,0.1875,10.8366982877111,10.832863715975,10.840532859516,1,-2.44501639882602
39,0.19,0.195,0.1925,10.8432500741851,10.8390027919328,10.8474973564033,1,-2.43165545346045
40,0.195,0.2,0.1975,10.8506142856619,10.8459691276303,10.8552594435812,1,-2.41603615340868
41,0.2,0.205,0.2025,10.8587585230356,10.8537332185914,10.8637838275164,1,-2.39827181290029
42,0.205,0.21,0.2075,10.8676447076235,10.8622597431949,10.8730296719832,1,-2.37849326551989
43,0.21,0.215,0.2125,10.8772293720222,10.8715078342162,10.8829509097994,1,-2.35684788417884
44,0.215,0.22,0.2175,10.8874639917107,10.8814313912983,10.8934965921979,1,-2.33349848266394
45,0.22,0.225,0.2225,10.8982953559735,10.891979431361,10.9046112807393,1,-2.30862208331898
46,0.225,0.23,0.2275,10.9096659765849,10.9030964804566,10.91623547281,1,-2.28240857905275
47,0.23,0.235,0.2325,10.9215145325224,10.9147229993888,10.9283060657042,1,-2.2550592739413
48,0.235,0.24,0.2375,10.9337763487979,10.9267958481627,10.9407568494763,1,-2.22678533331399
49,0.24,0.245,0.2425,10.9463839072793,10.9392487796546,10.9535190349032,1,-2.19780612336976
50,0.245,0.25,0.2475,10.9592673871337,10.9520129664605,10.9665218077839,1,-2.16834746794298
51,0.25,0.255,0.2525,10.9723552322429,10.965017557795,10.9796929066626,1,-2.13863983158508
52,0.255,0.26,0.2575,10.9855747426309,10.978190256272,10.9929592289,1,-2.10891641346828
53,0.26,0.265,0.2625,10.9988526865928,10.9914579241101,11.0062474491228,1,-2.07941120237848
54,0.265,0.27,0.2675,11.0121159298308,11.0047472025596,11.0194846571377,1,-2.05035697049525
55,0.27,0.275,0.2725,11.0252920774898,11.0179851498982,11.0325990050624,1,-2.02198323821487
56,0.275,0.28,0.2775,11.0383101245449,11.031099889203,11.0455203598832,1,-1.9945142219513
57,0.28,0.285,0.2825,11.0511011095386,11.0440212611566,11.0581809579722,1,-1.96816677582988
58,0.285,0.29,0.2875,11.0635987662062,11.0566814786361,11.0705160537825,1,-1.94314835176926
59,0.29,0.295,0.2925,11.0757401670751,11.0690157764081,11.082464557755,1,-1.91965499358555
60,0.295,0.3,0.2975,11.087466352703,11.0809630485199,11.0939696568837,1,-1.89786938575189
61,0.3,0.305,0.3025,11.0987229398343,11.0924664696037,11.1049794100722,1,-1.87795898157406
62,0.305,0.31,0.3075,11.109460701448,11.1034740903624,11.1154473125165,1,-1.86007422893766
63,0.31,0.315,0.3125,11.1196361114315,11.1139394023549,11.125332820557,1,-1.844346920556
64,0.315,0.32,0.3175,11.1292118465109,11.1238218625786,11.1346018304842,1,-1.83088868924024
65,0.32,0.325,0.3225,11.1381572380647,11.1330873728159,11.1432271033174,1,-1.81978967330403
66,0.325,0.33,0.3275,11.1464486666185,11.1417087043526,11.1511886288884,1,-1.81111737310431
67,0.33,0.335,0.3325,11.1540698921346,11.1496658619137,11.158473922353,1,-1.80491572036173
